originatorType,firmNumber,fundNumber,transactionType,transactionId,tradeDateTime,dollarAmount,clientName,ssn,dob,shareQuantity
1,1,1,B,TXN0000000000007,21012025143000,125.00,RAHUL K,123456789,01011990,150.00
0,2,2,S,TXN0000000000008,22012025101500,0.00,JOHN SMITH,987654321,15071985,100.00
1,3,3,B,TXN0000000000009,23012025163045,100.00,PRIYA R,456789123,02021992,200.00
0,4,4,S,TXN0000000000010,24012025092030,0.00,VIKAS,321456987,11111988,75.00
1,5,5,B,TXN0000000000011,25012025144520,55.00,ANITA,654321789,09061993,100.00
0,6,6,S,TXN0000000000012,26012025111030,0.00,JAMES MILLER,852741963,12121980,50.00
1,7,7,B,TXN0000000000013,27012025093000,300.00,KAVYA,159753486,04101995,400.00
0,8,8,S,TXN0000000000014,28012025151500,0.00,DAVID,258147369,28081989,120.00
1,9,9,B,TXN0000000000015,29012025102030,120.00,ALICE,741258963,07052000,180.00
1,10,10,B,TXN0000000000016,30012025133015,890.00,MARIA,369258141,19091987,950.00
